text,character,scene,order,season,episode,conversation,sentiment,sentiment_class,objectivity,objectivity_class,lda_topic,lda_keywords,nmf_topic,nmf_keywords,x_coord,y_coord,z_coord,scene_inc
That’s... that’s classic.,Ross Geller,s01_e07_c18,10718,1,7,18,0.16666666666666666,NEUTRAL,0.16666666666666666,STRONGLY OBJECTIVE,1,come really good guys know don just yeah uh oh,1,ve didn think want right like mean don just know,8.71731948852539,3.484143018722534,0.9060701727867126,21
"Monica, your dad just beeped in, but can you make it quick? Talking to Rome. I’m talking to Rome.",Rachel Green,s01_e08_c02,10802,1,8,2,0.3333333333333333,POSITIVE,0.5,NEUTRAL,10,big um yeah building just thing joey think monica chandler,1,ve didn think want right like mean don just know,7.958899974822998,4.549042701721191,4.387918472290039,22
So he’s calling from Rome. I could do that. Just gotta go to Rome.,Ross Geller,s01_e08_c02,10802,1,8,2,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,5,rach just know um little want fine don hey uh,1,ve didn think want right like mean don just know,7.7748823165893555,4.6068620681762695,4.3966288566589355,22
"Oh, well you know who I love the most? You!",Rachel Green,s01_e08_c11,10811,1,8,11,0.5625,POSITIVE,0.55,NEUTRAL,9,ross don mean gonna right yeah oh just okay know,3,honey yes guys love great come thank sorry god oh,7.729930877685547,4.036691665649414,1.2803679704666138,23
No. Oh.. you don’t get it!,Ross Geller,s01_e08_c11,10811,1,8,11,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,1,come really good guys know don just yeah uh oh,3,honey yes guys love great come thank sorry god oh,9.293665885925293,3.5552525520324707,1.3605737686157227,23
"Hey, who’s this little naked guy? Aww, look at the little thing.",Rachel Green,s01_e08_c12,10812,1,8,12,-0.018750000000000003,NEUTRAL,0.575,NEUTRAL,5,rach just know um little want fine don hey uh,6,umm time wanna huh alright going thank guys good hey,8.670753479003906,5.770538806915283,2.4482319355010986,24
"That little naked guy would be me. Yes, yes, fine, that is my penis. Can we be grown-ups now?",Ross Geller,s01_e08_c12,10812,1,8,12,0.0763888888888889,NEUTRAL,0.4666666666666666,NEUTRAL,1,come really good guys know don just yeah uh oh,10,guy alright rach ya look good hang fine really ok,8.715051651000977,5.7271728515625,2.386941909790039,24
"Excuse me, sir. Hi, you come in here all time. I was just wondering, do you think there’s a possibility that you could give me an advance on my tips?",Rachel Green,s01_e09_c02,10902,1,9,2,-0.05,NEUTRAL,0.05,STRONGLY OBJECTIVE,7,right uh know don like think ross just oh okay,7,monica looks ve think got jill believe really guys hi,8.645027160644531,4.019130229949951,1.9965157508850098,25
"Well, I’m off to Carol’s.",Ross Geller,s01_e09_c02,10902,1,9,2,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,6,really say don hi look know just like gonna okay,1,ve didn think want right like mean don just know,7.9455037117004395,3.5650577545166016,0.6942691206932068,25
"Pheebs, I can’t believe he hasn’t kissed you yet. I mean God, by my sixth date with Paolo, I mean he had already named both my breasts! ...Ooh. Did I just share too much?",Rachel Green,s01_e10_c03,11003,1,10,3,-0.16770833333333335,NEUTRAL,0.525,NEUTRAL,3,just ok don god did yeah know wait oh uh,1,ve didn think want right like mean don just know,6.392406463623047,5.249528408050537,3.8265254497528076,26
"Come here, Marcel. Sit here. Just a smidge.",Ross Geller,s01_e10_c03,11003,1,10,3,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,7,right uh know don like think ross just oh okay,1,ve didn think want right like mean don just know,7.477654933929443,3.8223414421081543,1.706183910369873,26
"Five. Sorry. Paolo’s catching an earlier flight. Oh, c’mon. We’ll have, we’ll have a big party, and no-one’ll know who’s with who.",Rachel Green,s01_e10_c05,11005,1,10,5,0.024999999999999994,NEUTRAL,0.625,SUBJECTIVE,9,ross don mean gonna right yeah oh just okay know,3,honey yes guys love great come thank sorry god oh,7.185891151428223,3.6548519134521484,1.589744210243225,27
"So tell me something. What does the phrase ’no date pact’ mean to you? Okay, so on our no-date evening, three of you now have dates. Five. Hey, y’know, this is so not what I needed right now.",Ross Geller,s01_e10_c05,11005,1,10,5,0.15773809523809523,NEUTRAL,0.5744047619047619,NEUTRAL,9,ross don mean gonna right yeah oh just okay know,6,umm time wanna huh alright going thank guys good hey,6.216297149658203,5.869273662567139,3.548082113265991,27
...I think that bitch cracked my tooth.,Rachel Green,s01_e10_c08,11008,1,10,8,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,6,really say don hi look know just like gonna okay,9,ugh wait thank don great need think come really ross,7.770214080810547,4.627683162689209,0.9585329294204712,28
"I wanted this to work so much. I mean I’m still in there, changing his diapers, pickin’ his fleas... but he’s just phoning it in. Just so hard to accept the fact that something you love so much doesn’t love you back.",Ross Geller,s01_e10_c08,11008,1,10,8,0.09930555555555554,NEUTRAL,0.4381944444444445,NEUTRAL,9,ross don mean gonna right yeah oh just okay know,1,ve didn think want right like mean don just know,7.101429462432861,5.467195987701416,4.405987739562988,28
"What’re you guys doing out here? Well,sounds like you two have issues.",Rachel Green,s01_e11_c06,11106,1,11,6,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,1,come really good guys know don just yeah uh oh,7,monica looks ve think got jill believe really guys hi,8.43196964263916,4.398313522338867,2.0397825241088867,29
"Hey, is Chandler here? Hey. Well, not playing raquetball!",Ross Geller,s01_e11_c06,11106,1,11,6,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,8,like come look hey yeah ross ok just oh know,6,umm time wanna huh alright going thank guys good hey,6.930978298187256,7.2134623527526855,5.3483405113220215,29
"Okay. Now this is just the first chapter, and I want your absolute honest opinion. Oh, oh, and on page two, he’s not ’reaching for her heaving beasts’. Alright, that’s it! Give it back! That’s it!",Rachel Green,s01_e11_c12,11112,1,11,12,0.33999999999999997,POSITIVE,0.5266666666666666,NEUTRAL,2,don right got ve ross just know okay oh yeah,3,honey yes guys love great come thank sorry god oh,7.483119487762451,4.55962610244751,4.260278224945068,30
"Wait, did you get to the part about his ’huge throbbing pens’? Tell ya, you don’t wanna be around when he starts writing with those!",Ross Geller,s01_e11_c12,11112,1,11,12,0.5000000000000001,POSITIVE,0.9,STRONGLY SUBJECTIVE,4,right ross mean okay ve got just oh don know,1,ve didn think want right like mean don just know,7.5491862297058105,4.702422618865967,4.364237308502197,30
"Hey. Ooh, I’ve been better... Oh, Ross... I am so sick of guys. I don’t want to look at another guy, I don’t want to think about another guy, I don’t even want to be near another guy. Oh Ross, you’re so great! No. I just need to be by myself for a while, you know? I just got to figure out what I want No, I know, I know, and I’m sure your little boy is not going to grow up to be one. What? Uh...no. No, no, in fact, you’re not having a boy.",Rachel Green,s01_e12_c14,11214,1,12,14,0.19970238095238094,NEUTRAL,0.6493386243386243,SUBJECTIVE,8,like come look hey yeah ross ok just oh know,1,ve didn think want right like mean don just know,6.614195823669434,5.61677360534668,3.8165335655212402,31
"You all right? Come here. Listen, you deserve so much better than him...you know, I mean, you, you, you should be with a guy who knows what he has when he has you. What? Huh. Ohhhh Uh, no, no, see, because not...not all guys are going to be a Paolo. What? I-I’m, I’m having a boy? Wha-I’m having, I’m having a boy! Huh, am I having a boy?",Ross Geller,s01_e12_c14,11214,1,12,14,0.13169642857142858,NEUTRAL,0.5744047619047619,NEUTRAL,4,right ross mean okay ve got just oh don know,5,did umm night wow wanna wha um rach huh uh,6.525163650512695,5.255063533782959,3.861070156097412,31
Coffee. And a nice hot cider for Monica.,Rachel Green,s01_e15_c01,11501,1,15,1,0.425,POSITIVE,0.925,STRONGLY SUBJECTIVE,6,really say don hi look know just like gonna okay,4,time wanna baby good umm ll let look right okay,8.055583000183105,5.468009948730469,2.6365573406219482,32
Grazie.,Ross Geller,s01_e15_c01,11501,1,15,1,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,1,come really good guys know don just yeah uh oh,1,ve didn think want right like mean don just know,8.139748573303223,4.853801727294922,1.2662854194641113,32
So what are you guys going to do?,Rachel Green,s01_e15_c04,11504,1,15,4,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,1,come really good guys know don just yeah uh oh,7,monica looks ve think got jill believe really guys hi,7.862429141998291,3.4164927005767822,3.070786237716675,33
"Her name is Celia. She’s not a bug lady. She’s curator of insects at the museum. Oh, I just thought we could go out to dinner, and then maybe bring her back to my place and I’d introduce her to my monkey.",Ross Geller,s01_e15_c04,11504,1,15,4,-0.025,NEUTRAL,0.0,STRONGLY OBJECTIVE,1,come really good guys know don just yeah uh oh,3,honey yes guys love great come thank sorry god oh,5.898594856262207,6.15839147567749,2.1179721355438232,33
"No, yeah, Ive done that. Ive never done that. Well, isnt, isnt that gonna be weird?",Rachel Green,s01_e16_c02,11602,1,16,2,-0.5,NEGATIVE,1.0,STRONGLY SUBJECTIVE,9,ross don mean gonna right yeah oh just okay know,8,like doing sure make great right weird just come gonna,9.424866676330566,4.022425174713135,1.2485343217849731,34
"I dont know whether hes testing me, or just acting out, but my monkey is out of control. But, he keeps erasing the messages on my machine, ”supposedly” by accident. And then, like three days in a row he got to the newspaper before I did, and peed all over the crossword. No, Susans gonna be there too. Weve got dads, weve got lesbians, the whole parenting team. No, no. I mean, it mighta been at first, but by now I, I think I’m pretty comfortable with the whole situation.",Ross Geller,s01_e16_c02,11602,1,16,2,0.17578125,NEUTRAL,0.45260416666666664,NEUTRAL,4,right ross mean okay ve got just oh don know,1,ve didn think want right like mean don just know,7.264718532562256,5.29512357711792,4.341395378112793,34
Cool... ”Urkel” in Spanish is ”Urkel.”,Rachel Green,s01_e16_c05,11605,1,16,5,0.175,NEUTRAL,0.325,OBJECTIVE,10,big um yeah building just thing joey think monica chandler,7,monica looks ve think got jill believe really guys hi,8.124892234802246,4.992020130157471,1.45079505443573,35
How did he do this?,Ross Geller,s01_e16_c05,11605,1,16,5,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,3,just ok don god did yeah know wait oh uh,5,did umm night wow wanna wha um rach huh uh,7.17150354385376,4.328073024749756,4.236725330352783,35
"This is just occurring to you? Oh, youre gonna be great!",Rachel Green,s01_e16_c13,11613,1,16,13,1.0,STRONGLY POSITIVE,0.75,SUBJECTIVE,9,ross don mean gonna right yeah oh just okay know,8,like doing sure make great right weird just come gonna,8.208984375,4.183586597442627,1.5377531051635742,36
"Im gonna be a father. I always knew I was havin a baby, I just never realised the baby was having me. Aw, how can you say that? I cant even get Marcel to stop eating the bath mat. How am I gonna raise a kid?",Ross Geller,s01_e16_c13,11613,1,16,13,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,6,really say don hi look know just like gonna okay,8,like doing sure make great right weird just come gonna,7.19476842880249,6.818819522857666,3.2449357509613037,36
"..so, he said it was just a sprain, and that was it. Was that the cake?",Rachel Green,s01_e17_c04,11704,1,17,4,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,8,like come look hey yeah ross ok just oh know,1,ve didn think want right like mean don just know,7.084388732910156,4.168482780456543,4.085843563079834,37
"Yeah, yeah. I got a lemon schmush.",Ross Geller,s01_e17_c04,11704,1,17,4,0.0,NEUTRAL,0.0,STRONGLY OBJECTIVE,2,don right got ve ross just know okay oh yeah,2,mean hear sure really didn going weird got good yeah,8.966712951660156,4.3373308181762695,1.763606309890747,37
